method, input, keynum,cerrnum,uerrnum,terrnum,terrrate
4KWatchWrite, i,159,9,1,10,0.062893082
4KWatchWrite, v,18,0,0,0,0
4KWatchWrite, k,30,0,0,0,0
4KWatchWrite, l,90,5,0,5,0.055555556
4KWatchWrite, p,36,1,0,1,0.027777778
4KWatchWrite, f,49,1,1,2,0.040816327
4KWatchWrite, q,6,0,0,0,0
4KWatchWrite, g,61,1,1,2,0.032786885
4KWatchWrite, y,48,2,0,2,0.041666667
4KWatchWrite, ' ',426,23,1,24,0.056338028
4KWatchWrite, a,170,8,2,10,0.058823529
4KWatchWrite, m,51,1,0,1,0.019607843
4KWatchWrite, c,70,0,0,0,0
4KWatchWrite, w,46,2,0,2,0.043478261
4KWatchWrite, n,152,4,1,5,0.032894737
4KWatchWrite, o,183,7,0,7,0.038251366
4KWatchWrite, s,134,3,2,5,0.037313433
4KWatchWrite, t,199,12,0,12,0.060301508
4KWatchWrite, h,112,9,1,10,0.089285714
4KWatchWrite, x,7,1,0,1,0.142857143
4KWatchWrite, d,75,2,1,3,0.04
4KWatchWrite, j,4,0,0,0,0
4KWatchWrite, r,146,6,0,6,0.04109589
4KWatchWrite, u,77,4,0,4,0.051948052
4KWatchWrite, b,27,0,0,0,0
4KWatchWrite, e,296,11,4,15,0.050675676
4KWatchWrite, z,2,0,0,0,0
1DInput, i,154,12,0,12,0.077922078
1DInput, x,8,0,0,0,0
1DInput, k,35,3,0,3,0.085714286
1DInput, l,118,8,0,8,0.06779661
1DInput, p,53,1,0,1,0.018867925
1DInput, f,52,2,0,2,0.038461538
1DInput, q,3,0,0,0,0
1DInput, g,47,5,0,5,0.106382979
1DInput, y,60,2,0,2,0.033333333
1DInput, a,200,31,0,31,0.155
1DInput, m,59,6,0,6,0.101694915
1DInput, c,65,5,0,5,0.076923077
1DInput, w,35,4,0,4,0.114285714
1DInput, t,229,35,0,35,0.152838428
1DInput, ' ',431,30,0,30,0.069605568
1DInput, s,167,11,0,11,0.065868263
1DInput, n,123,8,0,8,0.06504065
1DInput, h,87,2,0,2,0.022988506
1DInput, v,23,1,0,1,0.043478261
1DInput, d,87,7,0,7,0.08045977
1DInput, j,9,1,0,1,0.111111111
1DInput, r,160,15,0,15,0.09375
1DInput, u,84,5,0,5,0.05952381
1DInput, o,215,19,0,19,0.088372093
1DInput, b,30,0,0,0,0
1DInput, e,317,47,0,47,0.148264984
1DInput, z,1,0,0,0,0
